rgn_id,score,dimension,status,year
1,69.7,status,0.697,2019
2,95.6,status,0.956,2019
3,97.3,status,0.973,2019
5,31.6,status,0.316,2019
6,39.2,status,0.392,2019
7,84.6,status,0.846,2019
8,86.2,status,0.862,2019
9,89.9,status,0.899,2019
10,78.7,status,0.787,2019
12,62,status,0.62,2019
13,32.2,status,0.322,2019
14,7.2,status,0.072,2019
16,14.1,status,0.141,2019
17,13.8,status,0.138,2019
18,10,status,0.1,2019
19,10,status,0.1,2019
20,68.5,status,0.685,2019
21,14.3,status,0.143,2019
22,66.2,status,0.662,2019
23,52.8,status,0.528,2019
24,48.5,status,0.485,2019
25,61.6,status,0.616,2019
26,71,status,0.71,2019
27,41.3,status,0.413,2019
28,65.4,status,0.654,2019
30,10,status,0.1,2019
32,56.5,status,0.565,2019
33,97.4,status,0.974,2019
36,20.5,status,0.205,2019
38,15.6,status,0.156,2019
40,10,status,0.1,2019
42,52.2,status,0.522,2019
29,65.2,status,0.652,2019
41,14.4,status,0.144,2019
4,100,status,1,2019
11,100,status,1,2019
15,4.1,status,0.041,2019
31,100,status,1,2019
34,100,status,1,2019
35,100,status,1,2019
37,93.5,status,0.935,2019
39,76.4,status,0.764,2019